uni_id,university_th,university_en,university_shortname,university_type,province,website,logo,campuses,faculties,majors
1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,CU,National,Bangkok,https://www.chula.ac.th,https://logo.chula.ac.th,"[{""campus_name"": ""Phayathai"", ""address"": ""Phayathai Rd, Bangkok""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""วิศวกรรมศาสตร์""}, {""faculty_name"": ""อักษรศาสตร์""}]","[{""major_name"": ""คณิตศาสตร์""}, {""major_name"": ""ฟิสิกส์""}, {""major_name"": ""เคมี""}, {""major_name"": ""วิศวกรรมไฟฟ้า""}, {""major_name"": ""วิศวกรรมโยธา""}]"
2,มหาวิทยาลัยธรรมศาสตร์,Thammasat University,TU,National,Bangkok,https://www.tu.ac.th,https://logo.tu.ac.th,"[{""campus_name"": ""Rangsit"", ""address"": ""Rangsit Rd, Bangkok""}, {""campus_name"": ""Tha Prachan"", ""address"": ""Tha Prachan, Bangkok""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""กฎหมาย""}, {""faculty_name"": ""นิเทศศาสตร์""}]","[{""major_name"": ""วิทยาศาสตร์ข้อมูล""}, {""major_name"": ""เทคโนโลยีสารสนเทศ""}, {""major_name"": ""นิเทศศาสตร์""}, {""major_name"": ""กฎหมายมหาชน""}]"
3,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,KU,National,Bangkok,https://www.ku.ac.th,https://logo.ku.ac.th,"[{""campus_name"": ""Chatuchak"", ""address"": ""Chatuchak, Bangkok""}]","[{""faculty_name"": ""เกษตรศาสตร์""}, {""faculty_name"": ""วิศวกรรมศาสตร์""}, {""faculty_name"": ""วิทยาศาสตร์""}]","[{""major_name"": ""ปศุสัตว์""}, {""major_name"": ""อุตสาหกรรมเกษตร""}, {""major_name"": ""วิศวกรรมเกษตร""}]"
4,มหาวิทยาลัยมหิดล,Mahidol University,MU,National,Bangkok,https://www.mahidol.ac.th,https://logo.mahidol.ac.th,"[{""campus_name"": ""Salaya"", ""address"": ""Salaya, Nakhon Pathom""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""แพทยศาสตร์""}, {""faculty_name"": ""วิศวกรรมศาสตร์""}]","[{""major_name"": ""แพทยศาสตร์""}, {""major_name"": ""วิทยาศาสตร์การกีฬา""}, {""major_name"": ""วิศวกรรมชีวการแพทย์""}]"
5,มหาวิทยาลัยสุโขทัยธรรมาธิราช,Sukhothai Thammathirat Open University,STOU,Open,Nonthaburi,https://www.stou.ac.th,https://logo.stou.ac.th,"[{""campus_name"": ""Nonthaburi"", ""address"": ""Nonthaburi""}]","[{""faculty_name"": ""ศึกษาศาสตร์""}, {""faculty_name"": ""วิทยาศาสตร์""}]","[{""major_name"": ""การศึกษา""}, {""major_name"": ""เทคโนโลยีสารสนเทศ""}]"
6,จุฬาลงกรณ์มหาวิทยาลัย วิทยาเขตพระนคร,Chulalongkorn University - Sanam Luang,CU-SL,National,Bangkok,https://www.chula.ac.th,https://logo.chula.ac.th,"[{""campus_name"": ""Sanam Luang"", ""address"": ""Sanam Luang, Bangkok""}]","[{""faculty_name"": ""อักษรศาสตร์""}]","[{""major_name"": ""ประวัติศาสตร์""}, {""major_name"": ""ภาษาไทย""}]"
7,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut's University of Technology Thonburi,KMUTT,National,Bangkok,https://www.kmutt.ac.th,https://logo.kmutt.ac.th,"[{""campus_name"": ""Bangmod"", ""address"": ""Bangmod, Bangkok""}]","[{""faculty_name"": ""วิศวกรรมศาสตร์""}, {""faculty_name"": ""วิทยาศาสตร์""}]","[{""major_name"": ""วิศวกรรมซอฟแวร์""}, {""major_name"": ""วิศวกรรมหุ่นยนต์""}]"
8,มหาวิทยาลัยนเรศวร,Naresuan University,NU,National,Phitsanulok,https://www.nu.ac.th,https://logo.nu.ac.th,"[{""campus_name"": ""Phitsanulok"", ""address"": ""Phitsanulok""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""มนุษยศาสตร์""}]","[{""major_name"": ""ชีววิทยา""}, {""major_name"": ""ภาษาอังกฤษ""}]"
9,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,PSU,National,Songkhla,https://www.psu.ac.th,https://logo.psu.ac.th,"[{""campus_name"": ""Hatyai"", ""address"": ""Hatyai, Songkhla""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""วิศวกรรมศาสตร์""}]","[{""major_name"": ""วิศวกรรมอาหาร""}, {""major_name"": ""เคมี""}]"
10,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,CMU,National,Chiang Mai,https://www.cmu.ac.th,https://logo.cmu.ac.th,"[{""campus_name"": ""Nimmanhaemin"", ""address"": ""Nimmanhaemin Rd, Chiang Mai""}]","[{""faculty_name"": ""วิทยาศาสตร์""}, {""faculty_name"": ""วิศวกรรมศาสตร์""}]","[{""major_name"": ""วิทยาศาสตร์คอมพิวเตอร์""}, {""major_name"": ""วิศวกรรมคอมพิวเตอร์""}]"
